pulsep,pulsen,thrust_N,torque_Nm
1160,1760,6.1071,-0.117187
1160,1780,5.1696,-0.113222
1160,1800,4.9301,-0.12527
1180,1060,0.3854,0.007238
1180,1080,0.3844,0.005891
1180,1100,0.3816,0.004517
1180,1120,0.4074,0.003061
1180,1140,0.4603,0.001338
1180,1160,0.5659,-0.000439
1180,1180,0.5595,-0.002856
1180,1200,0.7155,-0.00495
1180,1220,0.8068,-0.007078
1180,1240,0.8658,-0.009427
1180,1260,0.9229,-0.011825
1180,1280,1.0693,-0.014679
1180,1300,1.1881,-0.01708
1180,1320,1.1761,-0.019792
1180,1340,1.33,-0.022697
1180,1360,1.4165,-0.02562
1180,1380,1.5933,-0.029808
1180,1400,1.674,-0.031871
1180,1420,1.8256,-0.036016
1180,1440,1.8871,-0.03824
1180,1460,2.0934,-0.041832
1180,1480,2.4861,-0.041448
1180,1500,2.4332,-0.044124
1180,1520,2.4428,-0.047317
1180,1540,2.6617,-0.05049
1180,1560,3.3811,-0.057516
1180,1580,3.0669,-0.060721
1180,1600,3.2744,-0.065156
1180,1620,3.0702,-0.074593
1180,1640,3.3552,-0.078374
1180,1660,3.4606,-0.078831
1180,1680,3.7071,-0.08451
1180,1700,3.9558,-0.094056
1180,1720,5.1452,-0.104087
1180,1740,5.1672,-0.103439
1180,1760,5.8908,-0.114015
1180,1780,5.1541,-0.111707
1180,1800,5.31,-0.121072
1200,1060,0.4689,0.007998
1200,1080,0.4679,0.007652
1200,1100,0.4563,0.006609
1200,1120,0.5279,0.004446
1200,1140,0.5341,0.003156
1200,1160,0.5876,0.000838
1200,1180,0.6096,-0.001527
1200,1200,0.7684,-0.003145
1200,1220,0.8665,-0.005489
1200,1240,0.9193,-0.007512
1200,1260,0.974,-0.009568
1200,1280,1.1194,-0.012748
1200,1300,1.213,-0.015418
1200,1320,1.28,-0.018621
1200,1340,1.3997,-0.021747
1200,1360,1.513,-0.024551
1200,1380,1.6164,-0.027855
1200,1400,1.7476,-0.031313
1200,1420,1.8509,-0.034701
1200,1440,1.9714,-0.03642
1200,1460,2.0737,-0.039279
1200,1480,2.5739,-0.03907
1200,1500,2.5455,-0.040865
1200,1520,2.5532,-0.043553
1200,1540,2.7128,-0.048327
1200,1560,3.3884,-0.055555
1200,1580,3.1734,-0.05773
1200,1600,3.3245,-0.060374
1200,1620,3.2992,-0.071325
1200,1640,3.3978,-0.07663
1200,1660,3.4833,-0.077347
1200,1680,3.7433,-0.083556
1200,1700,3.9986,-0.091817
1200,1720,5.1797,-0.101282
1200,1740,5.1795,-0.101574
1200,1760,5.9045,-0.111128
1200,1780,5.16,-0.110055
1200,1800,5.4004,-0.120201
1220,1060,0.5636,0.010976
1220,1080,0.5685,0.00898
1220,1100,0.5378,0.007606
1220,1120,0.5916,0.007088
1220,1140,0.6104,0.004857
1220,1160,0.6725,0.002544
1220,1180,0.6765,0.000722
1220,1200,0.834,-0.001015
1220,1220,0.9379,-0.00413
1220,1240,1.0033,-0.006251
1220,1260,1.0583,-0.008051
1220,1280,1.1878,-0.011386
1220,1300,1.3037,-0.014674
1220,1320,1.3459,-0.016958
1220,1340,1.4508,-0.019544
1220,1360,1.599,-0.022973
1220,1380,1.6979,-0.025958
1220,1400,1.7901,-0.028295
1220,1420,1.924,-0.033222
1220,1440,2.0422,-0.035766
1220,1460,2.1369,-0.038826
1220,1480,2.6486,-0.035608
1220,1500,2.6564,-0.037685
1220,1520,2.6301,-0.041518
1220,1540,2.7623,-0.045738
1220,1560,3.5825,-0.051796
1220,1580,3.3205,-0.054668
1220,1600,3.3902,-0.058772
1220,1620,3.2925,-0.067132
1220,1640,3.4087,-0.072183
1220,1660,3.5232,-0.076498
1220,1680,3.807,-0.081298
1220,1700,4.089,-0.08892
1220,1720,5.2497,-0.097379
1220,1740,5.3339,-0.100194
1220,1760,6.1004,-0.107345
1220,1780,5.2279,-0.107634
1220,1800,5.3614,-0.118866
1240,1060,0.6661,0.012761
1240,1080,0.6789,0.011525
1240,1100,0.6421,0.010015
1240,1120,0.6665,0.009097
1240,1140,0.6705,0.007138
1240,1160,0.7157,0.005526
1240,1180,0.8014,0.002409
1240,1200,0.8939,0.00084
1240,1220,1.0117,-0.001851
1240,1240,1.0692,-0.0037
1240,1260,1.1469,-0.006805
1240,1280,1.2383,-0.010163
1240,1300,1.3821,-0.012643
1240,1320,1.4253,-0.015478
1240,1340,1.5599,-0.018739
1240,1360,1.6727,-0.021106
1240,1380,1.7922,-0.024435
1240,1400,1.8893,-0.026548
1240,1420,2.007,-0.029867
1240,1440,2.0913,-0.034229
1240,1460,2.2099,-0.03725
1240,1480,2.7495,-0.033796
1240,1500,2.7291,-0.034696
1240,1520,2.7262,-0.038282
1240,1540,2.8365,-0.040186
1240,1560,3.6425,-0.048478
1240,1580,3.3721,-0.051871
1240,1600,3.4523,-0.056288
1240,1620,3.3638,-0.065281
1240,1640,3.4781,-0.068441
1240,1660,3.6414,-0.07
1240,1680,3.8442,-0.076364
1240,1700,4.204,-0.083851
1240,1720,5.3316,-0.092438
1240,1740,5.4163,-0.093707
1240,1760,6.2104,-0.10329
1240,1780,5.2696,-0.103279
1240,1800,5.5338,-0.114915
1260,1060,0.7828,0.014642
1260,1080,0.7885,0.014084
1260,1100,0.7425,0.0125
1260,1120,0.7833,0.011203
1260,1140,0.7876,0.010009
1260,1160,0.8258,0.006732
1260,1180,0.8795,0.004891
1260,1200,0.9872,0.004149
1260,1220,1.0998,0.000935
